Date of Rally,City,State,Venue,Estimated Visitors,Source
"Wednesday, August 3, 2016",Jacksonville,FL,Jacksonville Veterans Memorial Arena,"10,000",[236]
"Thursday, August 4, 2016",Portland,ME,Merrill Auditorium,"1,600",[237]
"Friday, August 5, 2016",Des Moines,IA,Iowa Events Center,"6,000",[238]
"Friday, August 5, 2016",Green Bay,WI,KI Convention Center,"3,000",[239]
"Saturday, August 6, 2016",Windham,NH,Windham High School,"1,500",[240]
"Tuesday, August 9, 2016",Fayetteville,NC,Crown Arena,"3,000",[241][242]
"Tuesday, August 9, 2016",Wilmington,NC,"Trask Coliseum, University of North Carolina at Wilmington",,[243]
"Wednesday, August 10, 2016",Sunrise,FL,BB&T Center,,[244]
"Thursday, August 11, 2016",Kissimmee,FL,Silver Spurs Arena,"8,000",[245]
"Friday, August 12, 2016",Altoona,PA,Blair County Convention Center,"5,000",[246]
"Friday, August 12, 2016",Erie,PA,Erie Insurance Arena,"8,000",[247]
"Saturday, August 13, 2016",Fairfield,CT,"William H. Pitt Center, Sacred Heart University","5,000",[248]
"Tuesday, August 16, 2016",West Bend,WI,"Ziegler Family Expo Center, Washington County Fair Park & Conference Center","2,000",[249]
"Thursday, August 18, 2016",Charlotte,NC,Charlotte Convention Center,"5,000",[250]
"Friday, August 19, 2016",Dimondale,MI,The Summit Sports and Ice Complex,"5,000",[251]
"Saturday, August 20, 2016",Fredericksburg,VA,Fredericksburg Expo & Conference Center,"3,600",[252]
"Monday, August 22, 2016",Akron,OH,"James A. Rhodes Arena, University of Akron","5,000",[253]
"Tuesday, August 23, 2016",Austin,TX,Luedecke Arena,"7,000",[254]
"Wednesday, August 24, 2016",Tampa,FL,"Entertainment Hall, Florida State Fairgrounds","3,000",[255]
"Wednesday, August 24, 2016",Jackson,MS,Mississippi Coliseum,,[256][257][258][259]
"Thursday, August 25, 2016",Manchester,NH,Radisson Hotel Manchester Downtown,900,[260]
"Tuesday, August 30, 2016",Everett,WA,Xfinity Arena,,[261]
"Wednesday, August 31, 2016",Phoenix,AZ,Phoenix Convention Center,"7,500",[262]
"Thursday, September 1, 2016",Wilmington,OH,Roberts Centre,"5,500",[263][264]
"Tuesday, September 6, 2016",Greenville,NC,Greenville Convention Center,"3,000",[265][266]
"Friday, September 9, 2016",Pensacola,FL,Pensacola Bay Center,"12,500",[267]
"Monday, September 12, 2016",Asheville,NC,U.S. Cellular Center,"6,000",[268]
"Tuesday, September 13",Clive,IA,7 Flags Event Center,"1,600",[269]
"Tuesday, September 13",Aston,PA,,?,
"Wednesday, September 14, 2016",Canton,OH,Canton Memorial Civic Center,"6,000",[270]
"Thursday, September 15, 2016",Laconia,NH,Laconia Middle School,600,[271][272][273] Related: Crowd coverage/views available at Right Side Broadcasting Network via YouTube.
"Friday, September 16, 2016",Miami,FL,Knight Center Complex,,[274][275] Related: [276]
"Saturday, September 17, 2016",Colorado Springs,CO,"Colorado Jet Center, Colorado Springs Airport",,[277]
"Monday, September 19, 2016",Estero,FL,Germain Arena,"8,000",[278]
"Tuesday, September 20, 2016",High Point,NC,"Millis Athletic Convocation Center, High Point University","2,000",[279]
"Tuesday, September 20, 2016",Kenansville,NC,Duplin County Events Center,"6,000",[280]
"Wednesday, September 21, 2016",Toledo,OH,Stranahan Theater,,[281][282]
"Thursday, September 22, 2016",Chester Township,PA,Sun Center Studios,"3,000",[283][284]
"Saturday, September 24, 2016",Roanoke,VA,Berglund Center,"9,000",[285]
"Tuesday, September 27, 2016",Melbourne,FL,Orlando Melbourne International Airport,,[286][287]
"Wednesday, September 28, 2016",Council Bluffs,IA,Mid-America Center,"1,200",[288]
"Wednesday, September 28, 2016",Waukesha,WI,Waukesha County Expo Center,"1,500",[289]
"Thursday, September 29, 2016",Bedford,NH,NH Sportsplex,900,[290]
"Friday, September 30, 2016",Novi,MI,Suburban Collection Showplace,"6,000",[291][292]
"Saturday, October 1, 2016",Manheim,PA,Spooky Nook Sports,"6,000",[293]
"Monday, October 3, 2016",Pueblo,CO,Pueblo Convention Center,"2,000",[294]
"Monday, October 3, 2016",Loveland,CO,Budweiser Events Center,"8,000",[294]
"Tuesday, October 4, 2016",Prescott Valley,AZ,Prescott Valley Event Center,"7,000",[295]
"Wednesday, October 5, 2016",Henderson,NV,Henderson Pavilion,"7,000",[296]
"Wednesday, October 5, 2016",Reno,NV,Reno-Sparks Convention Center,,[297][298]
"Monday, October 10, 2016",Ambridge,PA,Ambridge Area High School,"3,000",[299]
"Monday, October 10, 2016",Wilkes-Barre,PA,Mohegan Sun Arena at Casey Plaza,"9,000",[300]
"Tuesday, October 11, 2016",Panama City Beach,FL,"Aaron Bessant Amphitheater, Aaron Bessant Park","8,500",[301]
"Wednesday, October 12, 2016",Ocala,FL,Southeastern Livestock Pavilion,"12,000",[302]
"Wednesday, October 12, 2016",Lakeland,FL,Lakeland Linder International Airport,"7,000",[303]
"Thursday, October 13, 2016",West Palm Beach,FL,South Florida Fairgrounds Expo Center,"6,000",[304]
"Thursday, October 13, 2016",Cincinnati,OH,U.S. Bank Arena,"21,000",[305][306][307]
"Friday, October 14, 2016",Greensboro,NC,White Oak Amphitheatre,"4,000",[308][309]
"Friday, October 14, 2016",Charlotte,NC,Charlotte Convention Center,"5,000",[310][311]
"Saturday, October 15, 2016",Portsmouth,NH,Toyota of Portsmouth,"7,000",[312]
"Saturday, October 15, 2016",Bangor,ME,Cross Insurance Center,"4,000",[313][314]
"Monday, October 17, 2016",Green Bay,WI,KI Convention Center,"3,000",[315][316]
"Tuesday, October 18",Colorado Springs,CO,Norris-Penrose Event Center,,[317][318]
"Tuesday, October 18",Grand Junction,CO,"West Star Aviation, Grand Junction Regional Airport",,[319][320]
"Thursday, October 20, 2016",Delaware,OH,Delaware County Fair,"1,500",[321]
"Friday, October 21, 2016",Fletcher,NC,WNC Agricultural Center,"3,100",[322]
"Friday, October 21, 2016",Johnstown,PA,Cambria County War Memorial Arena,"4,000",[323][324][325]
"Friday, October 21, 2016",Newtown Township,PA,Newtown Athletic Club Sports Training Center,"4,000",[326]
"Saturday, October 22, 2016",Virginia Beach,VA,"Library Plaza, Regent University","10,000",[327]
"Saturday, October 22, 2016",Cleveland,OH,I-X Center,,[328][329][330][331]
"Sunday, October 23, 2016",Naples,FL,Collier County Fairgrounds,"12,000",[332][333]
"Monday, October 24, 2016",St. Augustine,FL,St. Augustine Amphitheatre,,[334][335]
"Monday, October 24, 2016",Tampa,FL,MidFlorida Credit Union Amphitheatre,"15–28,000",[336][337][338]
"Tuesday, October 25, 2016",Sanford,FL,"Million Air Orlando, Orlando Sanford International Airport","10,000",[339]
"Tuesday, October 25, 2016",Tallahassee,FL,Tallahassee Car Museum,,[340][341][342][343]
"Wednesday, October 26, 2016",Kinston,NC,"Kinston Jet Center, Kinston Regional Jetport","3,100",[344]
