State,occurances
AL,3
AZ,4
CO,1
FL,9
GA,1
IA,4
IL,1
IN,4
KS,1
KY,3
LA,4
MI,4
MN,3
MO,3
MS,4
MT,4
NC,5
ND,1
NH,2
NJ,1
NM,1
NV,4
OH,7
OK,1
PA,7
SC,2
TN,4
TX,3
WI,4
WV,4
